text,site_id
"We may from time to time offer certain location or pinpoint based services with our applications (such as, GPS assisted navigation instruction, wireless tower location, triangulation or other available location technologies). If you elect to use such location based services, we must periodically receive your location in order to provide such location-based services to you. By using the applications"" location based services, you authorize us to: (a) locate your hardware; (b) record, compile and display your location; and (c) publish your location to third parties designated by you by means of location publication controls available within the applications (e.g., settings, user preferences). As part of the applications, we may also collect and store certain information about our users, such as, users' wireless mobile subscriber ISDN and/or IMEI numbers (as applicable) and users' network access identifier information. This information will be used to provide you the services accessed through our applications. We may use third party providers to help provide services through mobile systems and such providers may use the information in accordance with our Privacy Policy. ",73036
"BikeBandit.com take precautions to protect your information. When you submit sensitive information via the BikeBandit.com website, your information is protected both online and offline.",13914
We reserve the right to contact you by e-mail in order to inform you about status of your order and give some recommendations if your subscription fails.,40392
"Currently, we collect your first and last name and e-mail address (provided by you). In addition, our download logs automatically collect information such as your browser type, the date and time of your visit, the referring site/URL, and your IP address.",23616
This site contains links to other sites. TRENDWATCHING.COM is not responsible for the privacy practices or the content of any linked Web sites.,116371
"Where necessary, this site uses cookies to store information about a visitor's preferences and history in order to better serve the visitor and/or present the visitor with customized content.  ",70509
"Some of our advertisers occasionally serve you cookies as well. We do not have control over cookies placed by advertisers. We may use advertising service vendors to help present advertisements on the website, one of which is http://www.gourmetads.com. These vendors may use cookies, web beacons, or similar technologies to serve you advertisements tailored to interests you have shown by browsing on this and other sites you have visited, to determine whether you have seen a particular advertisement before and to avoid sending you duplicate advertisements. In doing so, these vendors may collect non-personal data such as your browser type, your operating system, Web pages visited, time of visits, content viewed, ads viewed, and other clickstream data. The use of cookies, web beacons, or similar technologies by these advertising service vendors is subject to their own privacy policies, not ours, and Service Provider disclaims all liability in connection therewith.",65601
  1. We do our utmost to protect user privacy through the appropriate use of the security technology. This means: ,85968
"  * In our efforts to continually improve our product and service offerings, we collect and analyze demographic and profile data about our users' activity on our website. ",106545
    * You can opt out of the use of certain cookies.,37961
"An example of how American Airlines Vacations uses cookies is when you select a hotel and dates for pricing, our site sets a cookie that records your city and hotel selections. When you choose to complete the booking, you do not have to repeat this indication. ",2379
The Privacy Charter is our commitment to you.  It is our organization wide policy on how all companies in the Canadian Tire family protect your personal information. Privacy Statement  ,26787
"We may place small data files called ""cookies"" in the browser file of your computer's hard drive. These cookies automatically identify your browser to our server when you interact with the Sites. We use and store the cookies to carry information about usage from page to page through the Sites. We do not use cookies to retrieve personal information about you from your computer. By using our Sites, you consent to the storing and accessing of cookies on your computer or device.",5564
"Customized Shopping. We use your information to better serve you by providing a customized shopping experience. As noted above, you may “opt-out” of this customization, or even visit and shop anonymously.",41446
2.              HOW WE USE COOKIES AND OTHER TRACKING TECHNOLOGY TO COLLECT INFORMATION,9499
"As you shop on our Web site, the site uses its cookies to differentiate you from other shoppers so your shopping cart is only available to you. In some cases, we also use cookies to prevent you from seeing unnecessary advertisements or requiring you to log in more than is necessary for security. Cookies, in conjunction with our Web server's log files, allow us to calculate the aggregate number of people visiting our Web site and which parts of the site are most popular. This helps us gather feedback in order to constantly improve our Web site and better serve our customers. Cookies do not allow us to gather any personal information about you and we do not generally store any personal information that you provided to us in your cookies. ",29537
"We reiterate that we will never sell / rent out your email address to any third party, unless you expressly permit us to do so. In fact, we do not allow ANYONE to see your email address, not even other Shaadi.com members.",12802
"We collect, retain and use personal information about our customers only when they volunteer to subscribe to a VIPNet premium service. We only collect, retain and use personal information where we believe it is essential (and allowed by law) to administer our business and to provide products, services and other opportunities requested by our customers.",105731
"In the course of serving advertisements to this site, our third-party advertiser may place or recognize a unique “cookie” on your browser. ",32622
"Please keep in mind that whenever you voluntarily disclose personal information on line - for example, through e-mail, discussion lists, or elsewhere - that information can be collected and used by others. In short, if you post personal information online that is accessible to the public, you may receive unsolicited messages from other parties.",2473
"If you desire not to receive information about products or services we think may be of interest to you or if you wish to access, delete or correct you information, please send us an email to webmaster@couponcabin.com.",25522
"This privacy policy was last updated on [12-3-2012]. Our privacy policy may change from time to time. If we make any material changes to our policies, we will place a prominent notice on our website or application. If the change materially affects registered users, we will send a notice to you by email, push notification or text.",85575
  3. Determining which features our overall user population likes best;,124344
Your personal information may be shared within the group of companies we work with.  ,41234
"If a user wishes to subscribe to my RSS Feeds or Email Updates (powered by Feedburner), I ask for contact information such as name and email address. Users may opt-out of these communications at any time. Your personal information will never be sold or given to a third party. You will never be spammed by me – ever.",85627
"and we may need to verify your identity before implementing your request. We will try to comply with your request as soon as reasonably practicable. Please note that we may need to retain certain information for recordkeeping purposes and/or to complete any transactions that you began prior to requesting a change or deletion (e.g., when you make a purchase or enter a promotion, you may not be able to change or delete the Personal Information provided until after the completion of such purchase or promotion).",124677
Cookies are small digital signature files that are stored by your web browser that allow your preferences to be recorded when visiting the website. Also they may be used to track your return visits to the website.,75660
"(ii) Web beacons assist in delivering cookies and help us determine whether a web page on this Site has been viewed and, if so, how many times. For example, any electronic image on this Site, such as an ad banner, can function as a web beacon.  ",119192
"At HipHopDX.com, you can submit personally identifiable information about other people. For example, you might submit a person's name and email address to email a HipHopDX.com news story and, if you are located in the United States, order a gift on HipHopDX.com and want it sent directly to the recipient, you might submit the recipient's name and address. The types of personally identifiable information that may be collected and stored about other people at HipHopDX.com include: recipient's name, address, email address and telephone number. Cheri Media Group does not knowingly share with, rent, transfer or sell personally identifiable information that you submit about other people to any third parties or nonaffiliated entities.",52325
"Amazon.com gives you access to a broad range of information about your account and your interactions with Amazon.com for the limited purpose of viewing and, in certain cases, updating that information. Click here to see some examples, the list of which will change as our Web site evolves. ",123193
"We collect personally identifiable information, like names, postal addresses, email addresses, etc., when voluntarily submitted by our visitors. The information you provide is used to fulfill you specific request. The registered members of our website are automatically added to our site announcement mailing list. You as a subscriber of the mailing list have the option to opt out of these mailing list by clicking on the unsubscribe link in any of the newsletter sent to you. The unsubscribe process is automatic and immediate. This site uses a tool which collects your requests for pages and passes elements of them to search engines to assist them in indexing this site. We control the configuration of the tool and are responsible for any information sent to the search engines.",82280
"               f.         Opt-Out.  If you would prefer not to receive marketing-related e-mail messages from Company or any particular Affiliated Entity, you may opt-out of receiving such messages by following the ""unsubscribe"" instructions in the latest such message you have received from Company or such Affiliated Entity, respectively.  Please note that following such ""unsubscribe"" instructions will opt you out of receiving marketing-related e-mail messages from the sender of the particular message from which you initiated the opt-out process, but will not opt you out of receiving such messages from other senders (including, as applicable, Company, Artist(s) or other Affiliated Entities).",93732
"  * In connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company; and",83356
"  * User communications: When you send email or other communications to Shareaholic, we may retain those communications in order to process your inquiries, respond to your requests and improve our services.",99717
The following describes the Privacy Policy for our www.Epreneur.TV website.,35958
We use the information collected to undertake the On-Line Services.   ,45906
The information we collect is used to improve the content of our Web page and is used for internal review and is then discarded. ,125169
"We offer the use of a secure server. All supplied sensitive/credit information is transmitted via Secure Socket Layer (SSL) technology and then encrypted into our Payment gateway providers database only to be accessible by those authorized with special access rights to such systems, and are required to keep the information confidential. ",5387
"South Africa Online (and its subsidiary sites) believes strongly in protecting the privacy of users of its web site.  There may be times when you will register for services on South Africa Online; you may be required to provide South Africa Online with personal information including, but not limited to, the following:",104098
The Division of Information Technology maintains the University of Houston Web site as a public service. The following is the privacy policy for this site (all pages - but not all links - starting with www.uh.edu):,118318
"We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information. This does not include trusted third parties who assist us in operating our website, conducting our business, or servicing you, so long as those parties agree to keep this information confidential. We may also release your information when we believe release is appropriate to comply with the law, enforce our site policies, or protect ours or others rights, property, or safety. However, non-personally identifiable visitor information may be provided to other parties for marketing, advertising, or other uses.",42868
"Please remember that Hot Pop Travel does not have access to, or control over, the information these third parties may collect. The information practices of these third parties are not covered by this privacy policy.",53757
such as name and mailing address to send a gift or use our send-to-a-friend functionality.,93543
"The TowerData Privacy Policy is our way of ensuring the safety and accuracy of Internet users' personal information, whether gathered on this site, by our clients, or by our partners.",115470
"A “cookie"" is a text file that websites send to a visitor‘s computer or other Internet-connected device to uniquely identify the visitor’s browser or to store information or settings in the browser. A “web beacon,"" is also called a Web bug or a pixel tag or a clear GIF. Used in combination with cookies, a Web beacon is an often-transparent graphic image, usually no larger than 1 pixel x 1 pixel, that is placed on a Web site or in an e-mail that is used to monitor the behavior of the user visiting the Web site or sending the e-mail.",35315
"Your username and email address may also be used and disclosed to your friends when you use this site to send an email to your friends to share site information, or invite them to join the site. If your friends use this site to contact you, we will use your name and email address to contact you on behalf of your friends.  ",77418
"What choices are available to Visitors regarding collection, use and distribution of the information?  ",46595
California residents have the right to annually request and obtain information free of charge about any third parties that received personal Information from the company during the preceding calendar year for direct marketing purposes by directing a request to the contact information provided below.,9470
"  * We may collect and use of personal information, unless as required by law. ",14044
"The information you submit will be used by us for communication and contact, to fulfill your requests, to respond to inquiries and to offer other products, programs or services that we believe may be of interest to you or to the person whose information you submit to us.",84281
"Notifications | Intended to allow or prevent notices of information or options that we think could improve your use of the SpanishDict Services. For example, we use a Cookie 🍪 that stops us from showing you a certain signup notification if you have already seen it.  ",104227
